"Sl. No.","Category","State","Below 14 years - Male","Below 14 years - Female","Below 14 years - Transgender","Below 14 years - Total","14 and Above � Below 18 years - Male","14 and Above � Below 18 years - Female","14 and Above � Below 18 years - Transgender","14 and Above � Below 18 years - Total","18 and Above � Below 30 years - Male","18 and Above � Below 30 years - Female","18 and Above � Below 30 years - Transgender","18 and Above � Below 30 years - Total","30 and Above � Below 45 years - Male","30 and Above � Below 45 years - Female","30 and Above � Below 45 years - Transgender","30 and Above � Below 45 years - Total","45 and Above � Below 60 years - Male","45 and Above � Below 60 years - Female","45 and Above � Below 60 years - Transgender","45 and Above � Below 60 years - Total","60 years & Above - Male","60 years & Above - Female","60 years & Above - Transgender","60 years & Above - Total","Total - Male","Total - Female","Total - Transgender","Total"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,25,194,39,0,233,359,37,0,396,208,36,0,244,81,17,0,98,882,143,0,1025
,,,,,,,,,,51,231,41,0,272,278,49,1,328,192,35,0,227,85,26,0,111,867,200,1,1068
,,,,,,,,,,83,86,28,0,114,97,25,0,122,149,40,0,189,205,19,0,224,609,136,0,745
,,,,,,,,,,133,812,163,0,975,812,124,0,936,507,50,0,557,211,48,0,259,2491,451,0,2942
,,,,,,,,,,33,81,31,0,112,93,24,0,117,71,15,0,86,23,9,0,32,309,92,0,401
,,,,,,,,,,26,366,76,0,442,347,49,0,396,113,19,0,132,35,5,0,40,880,165,0,1045
,,,,,,,,,,3,26,4,0,30,41,6,0,47,54,6,0,60,48,11,0,59,175,29,0,204
,,,,,,,,,,119,289,55,0,344,533,80,0,613,354,68,0,422,88,21,0,109,1408,233,0,1641
,,,,,,,,,,8,74,7,0,81,88,13,0,101,162,18,0,180,106,18,0,124,447,59,0,506
,,,,,,,,,,156,230,61,0,291,122,41,0,163,56,18,0,74,23,6,0,29,585,148,0,733
,,,,,,,,,,12,59,3,0,62,102,21,0,123,136,29,0,165,117,27,0,144,432,84,0,516
,,,,,,,,,,22,127,28,0,155,147,20,0,167,61,10,0,71,21,2,0,23,376,68,0,444
,,,,,,,,,,10,56,8,0,64,87,7,0,94,130,22,0,152,91,34,0,125,387,80,0,467
,,,,,,,,,,48,161,35,0,196,165,29,0,194,64,10,0,74,13,0,0,13,467,78,0,545
,,,,,,,,,,20,124,32,0,156,273,50,0,323,224,18,0,242,72,21,0,93,727,133,0,860
,,,,,,,,,,17,49,10,0,59,101,9,0,110,93,24,0,117,79,26,0,105,347,78,0,425
,,,,,,,,,,14,57,10,0,67,64,3,0,67,61,8,0,69,45,14,0,59,249,46,0,295
